Laptop Name,Price,Rating,Review Count,Product Link
"Open Box - ASUS ROG Ally 7"" 1080p Touch Gaming Console (AMD Z1 Extreme/Radeon Navi3/16GB RAM/512GB SSD/Windows 11)",$499.99,3.56,9,https://www.bestbuy.ca/en-ca
"Open Box - ASUS ROG Ally 7"" 1080p Touch Gaming Console (AMD Z1 Extreme/Radeon Navi3/16GB RAM/512GB SSD/Windows 11) - Exclusive Retail Partner",$549.99,4,10,https://www.bestbuy.ca/en-ca/category/computers-tablets/20001
"Open Box - ASUS TUF Gaming F15 15.6"" Gaming Laptop - Grey (Intel Core i7-12700H/512GB SSD/16GB RAM/GeForce RTX 4050)",$999.99,5,1,https://www.bestbuy.ca/en-ca/category/laptops-macbooks/20352
"MSI Pulse Series 17.3"" Gaming Laptop - Titanium Grey (Intel Core i9-13900H/1TB SSD/16GB RAM/GeForce RTX 4070/Win 11)","$1,899.99",3.86,7,https://www.bestbuy.ca/en-ca/category/gaming-laptops/36712
"Open Box - ASUS ROG Ally 7"" 1080p Touch Gaming Console (AMD Z1 Extreme/Radeon Navi3/16GB RAM/512GB SSD/Windows 11)",$499.99,3.56,9,https://www.bestbuy.ca/en-ca/collection/asus-rog-ally/438687?icmp=computing_20230406_pc_gaming_marketing_offer_asus_rog_ally
"Open Box - ASUS ROG Ally 7"" 1080p Touch Gaming Console (AMD Z1 Extreme/Radeon Navi3/16GB RAM/512GB SSD/Windows 11) - Exclusive Retail Partner",$549.99,4,10,https://www.bestbuy.ca/en-ca/collection/premium-gaming-laptops/446685?icmp=computing_20230714_gaming_laptops_category_offer_premium_gaming_laptops
"Open Box - ASUS TUF Gaming F15 15.6"" Gaming Laptop - Grey (Intel Core i7-12700H/512GB SSD/16GB RAM/GeForce RTX 4050)",$999.99,5,1,https://www.bestbuy.ca/en-ca/collection/outlet-gaming-laptops/426674?icmp=computing_20230406_gaming_laptops_category_offer_outlet
"MSI Pulse Series 17.3"" Gaming Laptop - Titanium Grey (Intel Core i9-13900H/1TB SSD/16GB RAM/GeForce RTX 4070/Win 11)","$1,899.99",3.86,7,https://www.bestbuy.ca/en-ca/collection/gaming-laptops-under-999/446682?icmp=computing_20230714_gaming_laptops_category_offer_gaming_laptops_under999
"MSI Cyborg 15 A12U 15.6"" Gaming Laptop - Black (Intel Core i5-12450H/512GB SSD/8GB RAM/GeForce RTX 2050)",$749.99,0,0,https://www.bestbuy.ca/en-ca/collection/asus-gaming-laptops/322115?icmp=computing_evergreen_gaming_laptops_category_icon_shop_by_brand_asus
"ASUS ROG Strix G16 16"" Gaming Laptop - Eclipse Grey (Intel Core i9-13980HX/1TB SSD/32GB RAM/GeForce RTX 4060)","$2,299.99",4.53,17,https://www.bestbuy.ca/en-ca/collection/dell-alienware-gaming-laptops/362354?icmp=computing_evergreen_gaming_laptops_category_icon_shop_by_brand_alienware
"ASUS ROG Ally 7"" 1080p Touch Gaming Console (AMD Z1 Extreme/Radeon Navi3/16GB RAM/512GB SSD/Windows 11/XBOX GamePass) - Exclusive Retail Partner",$899.99,4.37,6997,https://www.bestbuy.ca/en-ca/collection/acer-gaming-laptops/169126?icmp=computing_evergreen_gaming_laptops_category_icon_shop_by_brand_acer
"Lenovo Legion Go 8.8"" QHD+ Touch Gaming Console (AMD Ryzen Z1 Extreme/16GB RAM/512GB SSD/Windows 11/Xbox Game Pass) - Exclusive Retail Partner",$799.99,4.38,117,https://www.bestbuy.ca/en-ca/collection/hp-gaming-laptops/217117?icmp=computing_evergreen_gaming_laptops_category_icon_shop_by_brand_hp
"Open Box - ASUS ROG Ally 7"" 1080p Touch Gaming Console (AMD Z1 Extreme/Radeon Navi3/16GB RAM/512GB SSD/Windows 11) - Exclusive Retail Partner",$549.99,4,10,https://www.bestbuy.ca/en-ca/collection/msi-gaming-laptops/392481?icmp=computing_evergreen_gaming_laptops_category_icon_shop_by_brand_msi
"ASUS Zephyrus G16 16"" Gaming Laptop - Eclipse Grey (Intel Core i7-12700H/1TB SSD/16GB RAM/GeForce RTX 4050)","$1,699.95",4.54,315,https://www.bestbuy.ca/en-ca/collection/microsoft-gaming-laptops/403503?icmp=computing_evergreen_gaming_laptops_category_icon_shop_by_brand_microsoft_surface
HP Victus 15.6” Gaming Laptop - Mica Silver (AMD Ryzen 5 7535HS/512GB SSD/8GB RAM/GeForce RTX 2050/Win 11),$749.99,3.63,16,https://www.bestbuy.ca/en-ca/product/lenovo-legion-go-8-8-1600p-touch-gaming-console-amd-ryzen-z1-extreme-16gb-ram-512gb-ssd-windows-11-xbox-game-pass-exclusive-retail-partner/17289697?icmp=computing_20230921_category_offer_2across_lenovo_legion_go_launch
"ASUS TUF Gaming F15 15.6"" Gaming Laptop - Mecha Grey (Intel Core i7-12700H/512GB SSD/16GB RAM/GeForce RTX 4050)","$1,299.95",4.89,9,https://www.bestbuy.ca/en-ca/collection/nvidia-rtx-40-series-laptops/432687?icmp=computing_20230224_category_gaming_laptops_offer_nvidia_rtx_40_laptops
"ASUS TUF Gaming F15 15.6"" Gaming Laptop (Intel Core i7-11800H/1TB SSD/16GB RAM/GeForce RTX 3050 Ti)",$999.99,1,1,https://www.bestbuy.ca/en-ca/product/open-box-asus-rog-ally-7-1080p-touch-gaming-console-amd-z1-extreme-radeon-navi3-16gb-ram-512gb-ssd-windows-11/17194920?icmp=Recos_3across_tp_sllng_prdcts_plp&referrer=PLP+Top+Seller
"ASUS TUF Gaming F15 15.6"" Gaming Laptop - Black (Intel Core i5-11400H/512GB SSD/16GB RAM/RTX 2050)",$899.99,3.53,15,https://www.bestbuy.ca/en-ca/product/open-box-asus-rog-ally-7-1080p-touch-gaming-console-amd-z1-extreme-radeon-navi3-16gb-ram-512gb-ssd-windows-11-exclusive-retail-partner/17213250?icmp=Recos_3across_tp_sllng_prdcts_plp&referrer=PLP+Top+Seller
